pkey,K_tfh_blz,n_tfh_blz,K_blz_tfh,n_blz_tfh,K_blz_tfr,n_blz_tfr,K_tfr_tfh,dummy1,dummy2,dummy3,dummy4,dummy5
11072021_AAADC,0.0832184,3.48688,1.28184,0.515588,5.86544,2.31075,0.367041,0.234772,0.886816,0.832568,0.00945804,0.958956
11072021_AAADD,0.104265,1.09263,1.24274,0.210931,8.71322,1.13014,0.255045,0.442711,0.581319,0.473021,0.393743,0.483602
11072021_AAADE,0.0652486,0.579257,1.40961,1.60444,6.82026,0.610084,0.464682,0.531907,0.489034,0.555669,0.841267,0.623503
11072021_AAADM,0.0799192,0.713272,1.04809,0.291527,5.11932,3.19514,0.458699,0.851802,0.422495,0.0968985,0.116069,0.836607
11072021_AAADO,0.0877132,1.27821,1.40098,2.4026,9.19033,3.69542,0.384063,0.660951,0.793843,0.774213,0.596415,0.435549
11072021_AAADQ,0.0572435,0.315538,1.27484,0.345588,8.28052,0.973362,0.483919,0.113359,0.332252,0.614528,0.303105,0.0210554
11072021_AAADU,0.068291,0.396652,1.2045,0.281408,7.82619,1.96802,0.359706,0.276591,0.511423,0.513296,0.976303,0.680539
11072021_AAADX,0.136396,1.58352,1.15896,1.16303,9.11061,2.39346,0.324121,0.471595,0.320957,0.944077,0.102791,0.598377
11072021_AAAEB,0.140891,2.88877,1.0242,0.207405,5.79487,3.34376,0.343487,0.928046,0.476889,0.885726,0.502289,0.0149117
11072021_AAAEG,0.0606712,0.48619,1.10489,1.31546,7.07942,1.23349,0.38261,0.827648,0.667291,0.564312,0.387367,0.206204
11072021_AAAEH,0.132427,0.939094,1.07485,1.70709,7.65556,1.00602,0.491788,0.221829,0.303083,0.2733,0.369231,0.16473
11072021_AAAEO,0.0824169,0.654101,1.18457,2.85444,8.52158,0.7669,0.338331,0.69745,0.0132905,0.423282,0.406441,0.468032
11072021_AAAEW,0.0724155,0.813224,1.29559,0.768138,9.67533,3.99764,0.288,0.877573,0.072247,0.97977,0.636339,0.243756
11072021_AAAEZ,0.0632476,0.724696,1.16616,1.10044,5.88135,1.71221,0.485368,0.211242,0.572559,0.181594,0.942125,0.255167
11072021_AAAFH,0.0790886,0.603552,1.30513,0.446923,7.30579,0.35701,0.442132,0.391469,0.513839,0.722457,0.233467,0.0347384
11072021_AAAFL,0.0579769,0.266077,1.01576,0.225312,9.21662,1.2179,0.462611,0.637663,0.729188,0.239946,0.421545,0.858103
11072021_AAAFS,0.100838,0.762599,1.28098,0.201785,8.03832,0.440926,0.403556,0.559055,0.393794,0.427541,0.0250716,0.0860432
11072021_AAAGA,0.141302,0.633996,1.13859,2.04393,8.76233,2.0752,0.369548,0.864175,0.460303,0.984334,0.798837,0.373792
11072021_AAAGG,0.115581,4.88762,1.44346,0.72357,7.62891,3.70401,0.35699,0.198246,0.234429,0.744763,0.678729,0.617298
11072021_AAAGM,0.12441,0.907334,1.21069,0.36982,8.37486,4.45752,0.452814,0.831383,0.699913,0.450281,0.695745,0.739544
11072021_AAAGR,0.0748086,0.647851,1.03896,0.500806,8.11417,0.285338,0.304631,0.36939,0.991648,0.355203,0.517902,0.877587
11072021_AAAGS,0.10718,1.20574,1.37119,3.72721,7.42901,2.64288,0.376278,0.655977,0.0790509,0.678606,0.21491,0.0194278
11072021_AAAHD,0.076436,0.390399,1.07271,1.01603,8.66329,2.33664,0.39575,0.667281,0.485703,0.710296,0.0838431,0.223857
11072021_AAAHF,0.0936302,2.33907,1.47055,0.612465,7.09168,4.57364,0.470533,0.851216,0.85655,0.418602,0.564189,0.503499
11072021_AAAHM,0.0617207,1.1672,1.04927,2.65883,8.40725,0.475855,0.26236,0.225392,0.527216,0.806319,0.641814,0.605723
11072021_AAAHO,0.0695757,0.938263,1.40024,0.262134,7.4784,0.993393,0.336992,0.291151,0.13242,0.0647948,0.130217,0.135672
11072021_AAAHV,0.145459,1.36545,1.32858,0.233404,8.88466,0.34184,0.358053,0.882113,0.848137,0.442624,0.344469,0.560025
11072021_AAAHY,0.0669969,4.79124,1.13325,0.465214,6.65463,0.681719,0.245325,0.674276,0.68275,0.865158,0.244272,0.00754773
11072021_AAAHZ,0.138991,2.27131,1.17162,0.955694,8.6174,0.831275,0.281448,0.280093,0.287321,0.0350761,0.0123142,0.12129
11072021_AAAIB,0.106961,0.892681,1.04325,1.26465,8.91198,3.85849,0.250201,0.951251,0.842695,0.326566,0.836211,0.460679
11072021_AAAIC,0.0735138,1.59994,1.3669,0.380046,5.84752,0.416914,0.469471,0.0428981,0.243574,0.643775,0.396492,0.56933
11072021_AAAIM,0.0983168,0.689777,1.32642,0.568826,8.14191,1.06724,0.379587,0.171452,0.532513,0.924758,0.165819,0.381384
11072021_AAAIV,0.127379,0.585952,1.11535,0.279386,8.2056,1.64725,0.328636,0.978182,0.0674101,0.855975,0.658404,0.590042
11072021_AAAIW,0.0921702,1.0906,1.29481,2.1055,6.38794,0.889922,0.390871,0.0120289,0.971218,0.173683,0.105901,0.450649
11072021_AAAIY,0.067368,0.458316,1.26962,3.14379,8.99833,2.53557,0.460362,0.132985,0.307279,0.390686,0.331784,0.512702
11072021_AAAJJ,0.10865,2.58603,1.42205,0.228496,6.56818,0.465042,0.446491,0.488575,0.218197,0.917585,0.736186,0.965847
11072021_AAAJY,0.133241,1.40001,1.23621,0.868952,7.83426,1.35724,0.38003,0.915415,0.982325,0.862825,0.62815,0.731304
11072021_AAAKF,0.0575772,0.914736,1.05498,0.788444,5.80297,2.65217,0.326092,0.253943,0.0136783,0.73919,0.850412,0.0891157
11072021_AAAKH,0.074795,1.19697,1.39445,1.95577,9.87395,4.41021,0.249556,0.196194,0.642849,0.389757,0.362009,0.685481
11072021_AAAKI,0.107266,0.650735,1.1954,0.260384,5.52034,0.326784,0.468862,0.794063,0.302516,0.580332,0.934539,0.293625
11072021_AAAKN,0.0854615,0.672479,1.23424,0.34665,9.82711,0.403279,0.357326,0.126691,0.66487,0.254167,0.822547,0.335105
11072021_AAAKV,0.0692727,0.559102,1.3726,1.28313,8.36026,1.901,0.419569,0.446449,0.731157,0.842271,0.0956112,0.111318
11072021_AAAKW,0.111214,1.03004,1.03756,0.377125,6.54573,0.686814,0.336491,0.543762,0.323443,0.128062,0.671517,0.969482
11072021_AAALB,0.0629193,1.95504,1.27945,0.948239,6.48146,0.450084,0.350598,0.354406,0.796358,0.0911479,0.160503,0.0566499
11072021_AAALC,0.105056,0.72832,1.0682,3.11648,8.30004,1.24676,0.293342,0.639711,0.133761,0.875042,0.603635,0.917239
11072021_AAALH,0.0551005,0.470012,1.17729,1.56296,8.03335,0.940021,0.426548,0.162136,0.425048,0.787749,0.672099,0.715506
11072021_AAALJ,0.0791203,1.06336,1.13718,2.34169,5.3314,2.3609,0.422215,0.0336739,0.854612,0.507255,0.890582,0.278178
11072021_AAALL,0.07209,0.380452,1.01519,0.353889,6.90511,0.656119,0.447017,0.737059,0.2693,0.854371,0.214047,0.179037
11072021_AAALV,0.0864216,3.22395,1.36304,1.91144,7.17077,1.49058,0.348536,0.683485,0.290367,0.97043,0.722492,0.841425
11072021_AAALZ,0.0909165,1.7784,1.44702,0.432707,7.9273,2.09552,0.328154,0.233746,0.38444,0.919922,0.133549,0.303126
11072021_AAAMA,0.127094,0.979082,1.14282,1.43564,7.32049,0.776372,0.390429,0.760387,0.545084,0.10999,0.568866,0.663224
11072021_AAAMD,0.0713437,3.921,1.22064,0.2323,6.01645,0.282378,0.279528,0.987738,0.356632,0.433107,0.44578,0.620386
11072021_AAAMG,0.141115,1.1192,1.30654,0.473336,8.24893,0.548824,0.466818,0.69365,0.174247,0.761059,0.08095,0.0640093
11072021_AAAMM,0.0918207,0.588362,1.15032,0.491016,5.66331,1.43991,0.445955,0.43649,0.63252,0.0834813,0.762298,0.236565
11072021_AAAMT,0.117753,2.02169,1.07838,0.657373,8.00718,2.50873,0.242008,0.76915,0.347978,0.455181,0.728013,0.568009
11072021_AAAMU,0.0502214,0.706665,1.26147,4.93756,7.39931,0.271071,0.477719,0.240623,0.69124,0.514908,0.0383054,0.457912
11072021_AAANA,0.089503,1.13924,1.11675,0.684857,7.27465,3.09772,0.276122,0.186744,0.743412,0.629014,0.531015,0.560722
11072021_AAANB,0.139403,1.81462,1.13266,0.27055,6.40248,0.381917,0.441415,0.646662,0.939966,0.533878,0.693267,0.822025
11072021_AAANH,0.113815,0.743774,1.18568,0.906098,8.9935,1.16585,0.40953,0.517895,0.276025,0.753398,0.9943,0.134491
11072021_AAANJ,0.10596,1.4732,1.27102,1.50314,5.56403,2.01285,0.484898,0.967516,0.881719,0.11771,0.482703,0.60849
11072021_AAANK,0.0635289,0.528517,1.07663,0.20456,9.99629,0.727223,0.270571,0.0578828,0.032598,0.91195,0.781297,0.498393
11072021_AAANO,0.0621009,0.664509,1.38134,0.373207,8.9168,1.79799,0.282287,0.332441,0.87394,0.965872,0.486149,0.831095
11072021_AAANT,0.112118,0.93039,1.36537,0.497646,9.90621,0.471539,0.435268,0.872544,0.567556,0.870732,0.292925,0.536039
11072021_AAANV,0.134581,2.1624,1.32795,0.332026,7.19816,4.72146,0.411004,0.993165,0.15337,0.5883,0.0197559,0.473207
11072021_AAANW,0.0958572,0.805528,1.01971,1.13323,7.88362,0.34116,0.344337,0.0282958,0.807179,0.38204,0.713376,0.615061
11072021_AAAOE,0.0737445,0.885538,1.19114,2.71189,6.51591,2.74039,0.376897,0.3997,0.402707,0.61682,0.741107,0.86886
11072021_AAAOL,0.147931,1.29391,1.00985,2.97123,9.79711,1.07776,0.318115,0.800904,0.624725,0.985327,0.768613,0.451341
11072021_AAAOW,0.130523,0.76981,1.03635,3.44019,9.51749,4.67042,0.384636,0.40834,0.719027,0.962587,0.0706149,0.707344
11072021_AAAPD,0.0532694,1.12128,1.23104,4.7286,6.86114,1.81246,0.330916,0.764927,0.253599,0.592616,0.419574,0.0974432
11072021_AAAPJ,0.0702942,0.323588,1.18062,0.574284,9.68858,2.70682,0.477992,0.0881286,0.466436,0.191349,0.708881,0.191543
11072021_AAAPV,0.0525172,0.594039,1.00289,3.22072,5.21074,3.8084,0.498406,0.514183,0.372429,0.140345,0.186467,0.671737
11072021_AAAQA,0.109293,1.33921,1.14165,0.526217,9.3482,4.2634,0.288516,0.129216,0.380213,0.791214,0.15763,0.894324
11072021_AAAQM,0.113392,3.69368,1.04204,2.29558,5.71081,2.95727,0.303213,0.704015,0.286782,0.850053,0.69774,0.492377
11072021_AAAQN,0.0990898,1.0477,1.48733,1.18484,8.55882,1.4421,0.491071,0.974444,0.245083,0.459622,0.828989,0.940416
11072021_AAAQP,0.0594159,0.79283,1.13985,0.255897,8.60536,0.642951,0.298918,0.91849,0.18788,0.341793,0.351661,0.039274
11072021_AAAQW,0.110115,0.498937,1.12444,0.762925,7.71735,1.97823,0.456183,0.380493,0.495746,0.495437,0.424058,0.343606
11072021_AAAQX,0.0951238,0.637761,1.27871,1.73818,9.4475,3.02597,0.323587,0.722757,0.128924,0.757595,0.566131,0.264586
11072021_AAARL,0.118689,2.24995,1.39575,1.46875,8.86614,1.94738,0.337977,0.625533,0.583258,0.577727,0.0913057,0.734844
11072021_AAARS,0.0608067,1.31145,1.46816,0.754441,5.24526,0.938697,0.472841,0.74721,0.951638,0.661609,0.730772,0.480895
11072021_AAARX,0.132801,1.65797,1.49283,0.595815,9.39569,0.760625,0.364059,0.329595,0.0814785,0.48777,0.52631,0.398339
11072021_AAASH,0.108,0.808939,1.43883,0.399343,7.08421,2.92952,0.489685,0.458974,0.636045,0.20575,0.786375,0.585514
11072021_AAASL,0.115678,0.963979,1.00914,0.217472,6.83496,0.289728,0.365517,0.182449,0.457779,0.166426,0.489145,0.24488
11072021_AAASM,0.0522478,1.79565,1.33071,1.63389,8.72777,2.61481,0.277461,0.842934,0.612565,0.866415,0.807281,0.854994
11072021_AAASN,0.135208,2.5622,1.13543,3.71505,5.87023,1.09674,0.465337,0.603607,0.918064,0.445214,0.656471,0.329402
11072021_AAASQ,0.0858855,4.08525,1.12008,1.24634,5.60965,0.795313,0.327291,0.0654322,0.648314,0.345012,0.619249,0.0377333
11072021_AAATL,0.107641,2.81447,1.09104,1.80053,9.74055,0.963169,0.218397,0.984029,0.260539,0.554001,0.637337,0.0909817
11072021_AAATQ,0.0876717,0.451115,1.0455,0.41437,8.44625,0.237597,0.47898,0.771935,0.572088,0.996511,0.252305,0.126253
11072021_AAATT,0.139729,1.35184,1.26319,0.791351,7.13287,3.94416,0.388759,0.515553,0.338114,0.496414,0.811396,0.521742
11072021_AAATV,0.128772,0.680295,1.16226,1.95058,8.70396,2.97489,0.463395,0.940443,0.943837,0.632469,0.291743,0.235277
11072021_AAAUC,0.0639791,0.879891,1.44158,0.867412,9.16398,2.04717,0.29746,0.158715,0.681508,0.120311,0.714071,0.158057
11072021_AAAUD,0.113365,0.553331,1.30124,0.236404,9.50279,0.563566,0.460003,0.636297,0.877053,0.216423,0.501041,0.459185
11072021_AAAUF,0.131333,3.65887,1.42921,3.49511,7.96814,2.48172,0.409219,0.089193,0.494899,0.421949,0.333784,0.122786
11072021_AAAUO,0.0704961,0.34848,1.05851,0.211664,8.33748,3.47599,0.369289,0.557732,0.245685,0.404203,0.928791,0.719351
11072021_AAAUS,0.0507723,0.643764,1.12687,1.13961,6.56532,2.42635,0.354606,0.109033,0.0892655,0.454715,0.464847,0.13613
11072021_AAAVD,0.10635,1.44623,1.01765,0.282866,7.5842,3.32093,0.264185,0.724065,0.159558,0.613424,0.441011,0.429168
11072021_AAAVG,0.0977064,1.13187,1.35947,3.10512,9.62594,1.85703,0.356064,0.379841,0.465589,0.133489,0.548903,0.474861
11072021_AAAVI,0.0531745,0.436773,1.48821,0.388641,8.07892,0.343777,0.47478,0.832218,0.910277,0.473865,0.350373,0.0759778
11072021_AAAVM,0.0836864,0.99358,1.21459,0.206036,6.17786,1.14364,0.430842,0.0704132,0.813004,0.987561,0.0375507,0.750907
11072021_AAAVU,0.0623314,0.738523,1.01189,0.476048,9.42314,0.827809,0.248217,0.45084,0.474937,0.00382017,0.0106519,0.512241
11072021_AAAVW,0.0844049,1.51325,1.05261,0.31785,7.0665,2.72553,0.300674,0.3221,0.810998,0.283339,0.301903,0.450188
11072021_AAAWB,0.135126,1.07582,1.19289,0.645652,6.76689,0.318991,0.456771,0.844497,0.505559,0.379454,0.483412,0.18269
11072021_AAAWF,0.0967764,1.79008,1.20133,1.08647,5.26,2.80405,0.39747,0.457604,0.668125,0.407541,0.161197,0.732458
11072021_AAAWH,0.0857957,0.611782,1.34918,0.659124,9.33293,3.77212,0.473425,0.0238981,0.0473004,0.713503,0.673282,0.00844838
11072021_AAAWN,0.0609893,1.49516,1.34032,0.441426,6.68713,0.595787,0.375337,0.152362,0.726867,0.995523,0.889399,0.946112
11072021_AAAWP,0.0688439,0.752121,1.24206,3.63833,7.63602,0.790235,0.448802,0.329019,0.113314,0.125582,0.40124,0.295404
11072021_AAAWV,0.083417,1.09746,1.38665,0.908029,7.66304,1.75021,0.340946,0.275109,0.0767745,0.0114772,0.908346,0.692098
11072021_AAAXC,0.138259,2.82288,1.43917,1.21269,6.27229,0.698358,0.468548,0.347753,0.458642,0.219894,0.268636,0.461549
11072021_AAAXJ,0.0681013,0.562717,1.11926,0.331429,6.0282,3.16987,0.348264,0.237202,0.446499,0.330876,0.0744256,0.9156
11072021_AAAXK,0.101449,1.02373,1.28308,1.1274,9.20986,0.229046,0.408157,0.772572,0.608119,0.640197,0.627394,0.0554815
11072021_AAAXP,0.050895,1.58993,1.45481,4.11022,9.45706,3.35787,0.274214,0.310587,0.833441,0.540173,0.586266,0.327381
11072021_AAAXQ,0.118617,0.898295,1.13503,0.559285,5.13886,0.372061,0.481763,0.714797,0.237249,0.488761,0.14656,0.717284
11072021_AAAXS,0.140692,1.83855,1.17548,0.374574,7.74697,1.19392,0.364931,0.593322,0.541816,0.208709,0.415885,0.279331
11072021_AAAXW,0.121178,4.1433,1.40223,0.219603,5.88497,0.364003,0.390114,0.31606,0.701456,0.691194,0.227929,0.581208
11072021_AAAXX,0.0913392,1.30754,1.06633,0.494647,8.73275,0.707891,0.202679,0.115817,0.766688,0.112408,0.363252,0.103416
11072021_AAAYA,0.113095,1.67374,1.09781,0.895916,6.6135,0.863188,0.314132,0.963125,0.136734,0.786247,0.38015,0.017991
11072021_AAAYE,0.149846,3.77191,1.32468,0.457405,9.7551,2.94696,0.293613,0.19345,0.102143,0.30018,0.19335,0.843066
11072021_AAAYH,0.0906176,0.512682,1.16946,0.803069,9.58233,0.305078,0.372696,0.366541,0.859271,0.658673,0.0944132,0.662071
11072021_AAAZA,0.0722443,1.05334,1.26656,3.43844,8.19129,3.10616,0.301972,0.6658,0.926221,0.20414,0.015883,0.149722
11072021_AAAZS,0.0714312,0.633415,1.49862,2.37211,9.82213,1.48022,0.432107,0.914099,0.947758,0.500405,0.253014,0.583265
11072021_AAAZZ,0.147452,3.15514,1.06762,0.701577,7.56625,0.328705,0.30985,0.561478,0.959052,0.925357,0.090046,0.0355903
11072021_AABAB,0.104484,0.783973,1.19413,1.17798,9.72851,2.17174,0.25967,0.232605,0.420704,0.716909,0.758723,0.390621
11072021_AABAC,0.0650779,2.21466,1.40353,0.350592,5.33622,0.784003,0.497434,0.761512,0.509083,0.253188,0.444012,0.530014
11072021_AABAE,0.0879327,0.906206,1.4109,0.523635,8.0188,2.87134,0.351185,0.890341,0.204518,0.0337282,0.243551,0.467571
11072021_AABAH,0.107381,3.83101,1.46037,3.16499,9.2244,1.55924,0.313233,0.865627,0.893031,0.478183,0.866803,0.252599
11072021_AABAT,0.143279,1.03325,1.4326,0.256806,9.93587,0.956163,0.386194,0.163498,0.394868,0.583272,0.296957,0.598838
11072021_AABAZ,0.126109,0.862518,1.01697,2.58846,5.86183,0.494387,0.461558,0.35499,0.757931,0.295621,0.785604,0.128518
11072021_AABBT,0.0807487,0.888381,1.34298,4.02598,9.96201,2.67873,0.345791,0.76852,0.315627,0.158174,0.352858,0.746324
11072021_AABBU,0.138801,1.59352,1.00467,0.542759,5.56897,0.296573,0.410114,0.241267,0.723343,0.871729,0.91317,0.356928
11072021_AABCH,0.0708705,1.56683,1.17068,2.20083,6.30753,2.05025,0.34375,0.743796,0.191989,0.49308,0.632083,0.891708
11072021_AABCI,0.109592,0.819628,1.48948,0.295772,8.16143,0.740146,0.412764,0.277696,0.846775,0.536832,0.07131,0.000340034
11072021_AABCO,0.120536,1.08577,1.09241,2.45331,7.21275,0.571685,0.48637,0.203807,0.499388,0.342061,0.591207,0.725551
11072021_AABDD,0.0731485,0.953585,1.06313,1.35586,5.45795,4.75732,0.476261,0.992597,0.182047,0.790565,0.894612,0.340851
11072021_AABDE,0.10884,1.82004,1.27671,0.412541,9.77279,0.352232,0.242894,0.0288795,0.779215,0.239102,0.338199,0.699504
11072021_AABDN,0.133443,4.93423,1.08846,0.493545,6.03598,4.42707,0.330575,0.563221,0.046276,0.0437198,0.289748,0.997646
11072021_AABDS,0.0649938,0.778011,1.04026,2.7686,7.34003,1.09044,0.367351,0.68109,0.855932,0.476462,0.662406,0.783161
11072021_AABDZ,0.137548,1.1945,1.21932,2.51012,9.05874,2.84766,0.346444,0.0195484,0.140252,0.0942513,0.816064,0.396907
11072021_AABEF,0.10222,0.66977,1.40298,0.603474,8.77692,0.253876,0.444916,0.0911582,0.176801,0.230329,0.370474,0.621726
11072021_AABEI,0.0516863,0.477041,1.35644,0.35759,9.74305,4.54437,0.310204,0.613586,0.389451,0.0756514,0.407684,0.76102
11072021_AABEN,0.143042,0.558506,1.01461,4.07509,8.01381,1.32127,0.478776,0.27128,0.235764,0.673719,0.579055,0.838368
11072021_AABEQ,0.0936761,0.866107,1.2487,1.32439,8.31958,0.959531,0.316123,0.809437,0.447919,0.522764,0.635583,0.544495
11072021_AABFN,0.100921,3.23891,1.00075,2.73202,6.74574,2.08666,0.247455,0.600589,0.801325,0.513822,0.205814,0.115351
11072021_AABFQ,0.0866098,2.05186,1.46171,1.00657,8.96875,4.17451,0.359433,0.830311,0.730295,0.186478,0.320674,0.575025
11072021_AABFR,0.121817,1.77545,1.18238,0.453058,8.19623,1.49364,0.27019,0.0505093,0.894966,0.564822,0.681477,0.5292
11072021_AABFU,0.0907148,2.53488,1.34647,0.239664,5.97589,2.90472,0.382333,0.256369,0.573421,0.237013,0.784467,0.0382513
11072021_AABFW,0.0766216,0.443638,1.1967,2.95357,9.40187,4.05531,0.455797,0.197677,0.210364,0.884039,0.303875,0.688983
11072021_AABGD,0.0599776,1.08043,1.17326,1.39793,9.77758,0.746816,0.284939,0.632741,0.81047,0.60131,0.988061,0.0712773
11072021_AABGU,0.108731,0.957972,1.17123,2.40533,7.86409,2.45001,0.302665,0.4211,0.618038,0.0160562,0.557336,0.987313
11072021_AABGZ,0.098528,0.740518,1.45055,0.210985,9.88668,1.67541,0.467712,0.701848,0.757319,0.731345,0.448477,0.908416
11072021_AABHB,0.0813097,1.47195,1.10057,3.17986,5.83296,1.26365,0.394101,0.752319,0.401588,0.397552,0.968131,0.316986
11072021_AABHH,0.0619136,0.421576,1.29398,0.206709,7.12142,2.25552,0.407401,0.185261,0.184015,0.127205,0.588238,0.564726
11072021_AABHT,0.0671843,0.517553,1.3975,1.1698,7.93654,3.5988,0.391459,0.72759,0.0279039,0.201197,0.0481528,0.0407703
11072021_AABHU,0.10239,1.35271,1.20016,0.356,7.29418,0.388544,0.326876,0.262652,0.93269,0.768893,0.749067,0.930654
11072021_AABIC,0.131133,1.00784,1.02674,0.772732,8.34588,2.68391,0.351894,0.134057,0.279056,0.222605,0.706607,0.676367
11072021_AABID,0.0647748,1.28699,1.36857,1.71612,8.8252,1.51028,0.259126,0.977309,0.0960718,0.530664,0.283308,0.72429
11072021_AABIE,0.1032,0.491636,1.03377,0.230587,5.64378,0.836058,0.496851,0.0129177,0.943239,0.439669,0.98083,0.364191
11072021_AABIG,0.147732,4.1047,1.15759,3.58742,6.59265,3.88453,0.371122,0.716791,0.434801,0.171589,0.180196,0.218145
11072021_AABIK,0.114131,1.85583,1.38398,2.84184,9.69493,0.509243,0.420902,0.439288,0.337554,0.681437,0.492427,0.892828
11072021_AABIW,0.0979918,0.627392,1.19148,0.323611,7.69782,0.631862,0.48849,0.0530495,0.181606,0.105558,0.331013,0.211956
11072021_AABIX,0.148102,0.997709,1.05108,0.665823,8.62489,1.87256,0.34162,0.53054,0.377138,0.197981,0.383608,0.420806
11072021_AABJD,0.111947,1.25278,1.32079,2.27171,8.57835,0.819102,0.449393,0.584083,0.430317,0.0643449,0.922041,0.566577
11072021_AABJG,0.0622716,1.9428,1.42984,2.03817,7.58902,1.39982,0.305634,0.124079,0.128305,0.225889,0.853573,0.800544
11072021_AABJK,0.0667603,2.35161,1.2521,0.395761,7.46665,2.2316,0.286424,0.54269,0.0347853,0.167026,0.25108,0.336158
11072021_AABJP,0.116833,3.39608,1.48681,0.544429,6.52238,0.584464,0.433548,0.00256987,0.27378,0.0133216,0.464107,0.0467101
11072021_AABJW,0.0588625,2.9567,1.19739,0.215845,6.42699,0.902405,0.260575,0.816987,0.871176,0.206861,0.953881,0.98966
11072021_AABJX,0.128642,1.88491,1.26774,0.503845,9.28446,0.430384,0.373157,0.610985,0.659459,0.59668,0.572602,0.452776
11072021_AABJZ,0.105789,0.876293,1.29284,0.336293,6.57992,1.04775,0.480148,0.740088,0.120518,0.815224,0.864832,0.515456
11072021_AABKA,0.0637488,1.63098,1.1095,1.1193,8.51165,0.566044,0.237698,0.265748,0.965733,0.155841,0.433425,0.404851
11072021_AABKF,0.113595,1.04964,1.12547,4.14501,7.50879,2.02559,0.40493,0.805874,0.725763,0.0558778,0.345666,0.228014
11072021_AABKO,0.0775449,0.499877,1.26179,0.263973,8.69917,1.27783,0.364223,0.337388,0.975083,0.0203128,0.878082,0.613626
11072021_AABKQ,0.0503924,1.21975,1.30264,0.88452,6.07153,0.348766,0.482346,0.465821,0.310898,0.301784,0.684473,0.425954
11072021_AABKR,0.137064,3.86739,1.23235,0.411276,8.21399,0.731416,0.294469,0.226799,0.219729,0.880698,0.787569,0.889529
11072021_AABLA,0.101292,0.567229,1.14641,0.879774,8.46578,3.36738,0.428084,0.661847,0.761241,0.604652,0.471272,0.257419
11072021_AABLB,0.0510525,0.902433,1.09933,0.233159,7.5545,0.226991,0.289454,0.137375,0.547141,0.700703,0.305361,0.109825
11072021_AABLD,0.0940202,2.23817,1.22487,3.47127,9.76008,1.22666,0.241031,0.590241,0.0708968,0.906282,0.605877,0.464825
11072021_AABLG,0.110474,2.89769,1.37918,0.312391,8.02992,4.9032,0.369824,0.310477,0.303929,0.34044,0.404178,0.385556
11072021_AABLI,0.140944,0.697587,1.25756,2.65787,9.5774,0.706555,0.499691,0.981605,0.828025,0.0479194,0.696516,0.0324716
